epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3134.36,1.20401,1.50194,1.45396,0.57605,0.5051,0.52113,0.30797,1.56631,1.70541,1.72023,0.00038375,0.00038375,0.00038375
107,3163.31,1.17548,1.4476,1.4475,0.51442,0.54195,0.55818,0.3502,1.56326,1.70005,1.71257,0.0003755,0.0003755,0.0003755
108,3192.53,1.2069,1.43673,1.42901,0.51493,0.54984,0.54678,0.33983,1.52704,1.63401,1.66799,0.00036725,0.00036725,0.00036725
109,3221.74,1.18741,1.42002,1.42838,0.52455,0.56648,0.55784,0.35699,1.53547,1.62452,1.65381,0.000359,0.000359,0.000359
110,3250.67,1.18551,1.44461,1.41284,0.536,0.51031,0.53747,0.33439,1.53282,1.67579,1.67392,0.00035075,0.00035075,0.00035075
111,3279.62,1.16801,1.43524,1.42998,0.50988,0.57824,0.51498,0.3034,1.58069,1.71762,1.7223,0.0003425,0.0003425,0.0003425
112,3308.6,1.14898,1.37353,1.40843,0.65024,0.45826,0.48444,0.29402,1.58488,1.71886,1.73994,0.00033425,0.00033425,0.00033425
113,3337.57,1.14427,1.4176,1.4154,0.64612,0.41272,0.52168,0.31008,1.63247,1.7424,1.76662,0.000326,0.000326,0.000326
114,3366.78,1.18632,1.44325,1.42663,0.60458,0.49087,0.5472,0.33203,1.58491,1.72862,1.74111,0.00031775,0.00031775,0.00031775
115,3395.94,1.17958,1.4188,1.4353,0.61649,0.52514,0.54902,0.32166,1.59232,1.71556,1.75849,0.0003095,0.0003095,0.0003095
116,3425.22,1.13605,1.36302,1.38705,0.61423,0.48292,0.52091,0.3111,1.58885,1.7049,1.7458,0.00030125,0.00030125,0.00030125
117,3454.25,1.18165,1.38718,1.42955,0.53647,0.52168,0.54727,0.32349,1.59365,1.73078,1.74362,0.000293,0.000293,0.000293
118,3483.24,1.1401,1.33845,1.40628,0.68184,0.44008,0.54921,0.33366,1.58611,1.68171,1.74226,0.00028475,0.00028475,0.00028475
119,3512.35,1.13931,1.36761,1.40947,0.68392,0.46732,0.55958,0.34536,1.57366,1.74566,1.71331,0.0002765,0.0002765,0.0002765
120,3541.36,1.14007,1.32369,1.40666,0.65882,0.47898,0.57535,0.35451,1.58954,1.66721,1.74999,0.00026825,0.00026825,0.00026825
121,3570.29,1.19035,1.41029,1.43405,0.69343,0.44729,0.56524,0.35197,1.60278,1.70662,1.74712,0.00026,0.00026,0.00026
122,3599.68,1.1395,1.35381,1.39965,0.68814,0.44958,0.55046,0.34575,1.5968,1.69793,1.71508,0.00025175,0.00025175,0.00025175
123,3628.78,1.13925,1.36583,1.41437,0.69509,0.44547,0.56304,0.34376,1.59323,1.70779,1.72897,0.0002435,0.0002435,0.0002435
124,3657.87,1.16498,1.35166,1.41519,0.65228,0.47956,0.56076,0.3415,1.59013,1.70611,1.73475,0.00023525,0.00023525,0.00023525
125,3686.84,1.12037,1.3401,1.38352,0.66604,0.45283,0.55874,0.34569,1.55518,1.73081,1.71911,0.000227,0.000227,0.000227
126,3715.99,1.15076,1.3536,1.42062,0.65362,0.44745,0.54291,0.32526,1.61711,1.77207,1.77012,0.00021875,0.00021875,0.00021875
127,3745.02,1.14042,1.36293,1.40064,0.62287,0.44458,0.54474,0.33513,1.5709,1.72152,1.74483,0.0002105,0.0002105,0.0002105
128,3773.95,1.14528,1.39275,1.41469,0.54136,0.52578,0.5512,0.33171,1.56653,1.72887,1.73847,0.00020225,0.00020225,0.00020225
129,3803.07,1.09113,1.25479,1.36289,0.60803,0.48959,0.56525,0.34705,1.55411,1.69011,1.7208,0.000194,0.000194,0.000194
130,3832.01,1.14015,1.33676,1.40087,0.58641,0.49637,0.55724,0.34384,1.56103,1.67079,1.72583,0.00018575,0.00018575,0.00018575
131,3861.26,1.107,1.28092,1.36261,0.57521,0.5209,0.55527,0.34368,1.59192,1.6781,1.73414,0.0001775,0.0001775,0.0001775
132,3890.35,1.1326,1.31979,1.39049,0.64709,0.48243,0.56999,0.3537,1.57505,1.65189,1.73912,0.00016925,0.00016925,0.00016925
133,3919.79,1.10102,1.30431,1.35938,0.6427,0.48787,0.57584,0.35287,1.57961,1.64004,1.74477,0.000161,0.000161,0.000161
134,3948.96,1.10623,1.28668,1.37738,0.59718,0.50347,0.57296,0.3508,1.5528,1.65373,1.71099,0.00015275,0.00015275,0.00015275
135,3978.02,1.10355,1.33864,1.37801,0.60262,0.48927,0.57518,0.36665,1.52909,1.65242,1.70609,0.0001445,0.0001445,0.0001445
136,4007.04,1.09495,1.27658,1.36797,0.59539,0.48182,0.5724,0.36169,1.51759,1.65999,1.68807,0.00013625,0.00013625,0.00013625
